Season,Name,Team,PA,O-Swing%,Swing%,Pull%,CStr%,CSW%,BB%+,K%+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Hard%+,OBP+,NameASCII,PlayerId,MLBAMID
2005,"Nate McLouth","PIT",120,0.316,0.5082,0.4239,0.1958,0.2867,28.456595176688726,103.45797483414923,105.10840115327666,120.99513815064317,90.60865194178572,91.83949700968886,117.59911757202941,83.12797057692816,185.26066231324808,98.47793209805239,91.90369846373513,90.03666333566326,"Nate McLouth",3190,434661
2010,"Michael Saunders","SEA",327,0.2768,0.4207,0.4615,0.1964,0.2985,125.73184969807849,147.1581521429031,89.95995149339151,105.6881803529847,88.02305861358685,91.65483228017226,81.04926053829811,125.7555578895334,115.16916306082166,115.47122271401679,88.55428212652883,90.03103003153237,"Michael Saunders",9981,459431
2018,"Austin Wynns","BAL",118,0.3626,0.4527,0.3977,0.2117,0.3176,51.04293265579679,97.22162787513673,91.6505907586786,76.29893733506333,100.69337389118502,105.29932424484502,116.68248712547053,77.51667412268407,130.95929774568717,96.84508822955767,73.7049464472479,90.02641862348045,"Austin Wynns",15271,642851
2006,"John Buck","KCR",409,0.267,0.513,0.3596,0.1254,0.2334,76.7147555368203,127.2373996637529,90.50790451870108,92.92026864884365,94.656919127155,101.0852683711918,103.88147516173771,94.81454034370994,102.07964174930417,88.77492042560638,100.06646614102566,90.02488834116322,"John Buck",2041,407833
2021,"James McCann","NYM",412,0.3565,0.4997,0.3764,0.1386,0.2668,84.55790165026157,125.15691895354813,83.10594074362665,68.44547164639737,103.34110296219774,94.85119909869395,120.7085005018003,78.66780057656158,97.44808156420227,93.5493803753095,90.2234303542495,90.02137144056654,"James McCann",12859,543510
2013,"Evan Gattis","ATL",382,0.4334,0.5531,0.4783,0.1257,0.2475,68.78373988151897,111.75804185563277,119.85214839604174,166.01934394908955,85.02797287809058,68.06506265261383,90.8363442480673,132.49537471893154,165.91196803502615,124.28074098273332,119.099988548861,90.02122551263012,"Evan Gattis",11003,594828
2003,"Dave Berg","TOR",174,0.2153,0.459,0.3178,0.1669,0.2403,76.5361357005718,124.41568183389207,88.41104032677629,77.25444551938956,101.37635388729448,105.96835344413344,91.01732694507147,106.88023723620366,75.2635741478362,71.11519549203167,67.88461388645072,90.01066933534858,"Dave Berg",1288,132787
2008,"Esteban German","KCR",242,0.1833,0.4081,0.3536,0.212,0.2689,86.52478190398472,103.06713106104004,80.28043133184534,60.565141607239696,99.09423205007191,109.19718923121525,121.5615215411832,69.55737660893426,0,86.2211402334499,95.55067726622521,90.0081531257835,"Esteban German",1449,407397
2002,"Jack Wilson","PIT",586,0.1634,0.4501,0.4628,0.2011,0.2654,67.66314298381687,77.27887610259441,78.50593302725581,50.70745207241686,96.72136805032432,81.20990230982153,105.54339316507983,104.53078859231779,23.181018710664834,108.4855708691371,58.85274415680705,90.00221997944641,"Jack Wilson",1017,333292
2007,"Ryan Freel","CIN",304,0.1967,0.4338,0.3879,0.1926,0.2538,67.05783322706989,94.01983095679228,79.49719441275748,61.93509962156841,94.08767807110839,95.47146939047566,115.27785721566187,85.45458538815,39.89706549321769,95.49447797914237,62.27156074313833,89.99930241212195,"Ryan Freel",1207,150472
2011,"Don Kelly","DET",281,0.3069,0.4811,0.306,0.1634,0.2147,61.50743087248508,63.47947253722253,93.28705508967698,90.53767807208315,86.9795733046986,116.78212719872245,65.9268140240498,131.9234183780786,65.36891855683373,75.19071481335445,64.71306450041308,89.99814107011247,"Don Kelly",2216,430603
2007,"Reed Johnson","TOR",307,0.2727,0.4552,0.4152,0.2043,0.2919,60.84726520173294,109.23041306373666,75.52977277939019,54.775633304792635,95.04687816412411,102.42729063483509,106.95227835665658,90.69921558893151,29.46887790936191,102.61508297016948,81.45599738592561,89.99738797819708,"Reed Johnson",1702,407862
2002,"Terrence Long","OAK",640,0.1884,0.4658,0.3684,0.1684,0.2505,89.07596490419249,92.32019108351521,91.76059587412628,93.17151250073711,89.46686552570502,112.62660603633172,100.12936469497109,92.47893611631613,90.22075470794047,84.05663106081995,105.04106945188856,89.99489987900805,"Terrence Long",927,150239
2008,"Brandon Moss","- - -",263,0.2737,0.4829,0.3977,0.1369,0.2738,89.11576797447208,156.25292164530296,102.81691763690634,121.25253155201041,101.65182253540704,100.83957441656098,100.81243321722964,98.84916065004839,125.5124619275466,97.50301869238669,122.91973197395998,89.99190350603598,"Brandon Moss",4467,461235
2019,"Adalberto Mondesi","KCR",443,0.4223,0.5742,0.4605,0.0969,0.3068,50.447006442159534,130.31865992758952,96.3651716168245,86.63346168741482,119.64464118707517,90.36378570491135,110.92127616922029,92.97554784885817,60.569577958054175,111.33273117630549,99.72980296738214,89.99173566968913,"Adalberto Mondesi",13769,609275
2010,"Jerry Hairston","SDP",476,0.3144,0.4548,0.4041,0.2096,0.2637,73.70677289554062,61.48534510991405,85.63311898450505,72.44033679569101,84.58775103759434,88.50441824461826,91.02328396300196,116.11903173985513,62.4961994892501,103.13611679023657,91.25449108426089,89.98994351609929,"Jerry Hairston",144,150020
2020,"Victor Robles","WSN",189,0.3416,0.4921,0.5,0.1429,0.2712,51.35989458421918,121.3596342896564,74.89688835031932,54.499002379503466,101.79760732515513,138.15877674444798,82.66288255371965,97.4967743573027,51.122890300183776,122.94225152091171,62.4042827565667,89.97428348879522,"Victor Robles",18363,645302
2018,"Tim Beckham","BAL",402,0.3203,0.4809,0.4265,0.161,0.2851,80.9068579872792,114.1507670619405,89.77003275150345,86.10584681437021,95.78505769167711,96.31663886166744,109.7319369388298,90.83234805817295,105.94460031753266,103.8439770913455,86.05193864239496,89.97199332928619,"Tim Beckham",7949,542921
2020,"Kris Bryant","CHC",147,0.3028,0.475,0.4066,0.1617,0.2933,88.04553465150497,117.76137014537997,83.36499406137318,82.99657256847507,90.23439024513823,80.73402320864382,87.25021841564183,127.27600888176764,64.83878807061708,99.97501757439234,90.63022000990732,89.96315484775424,"Kris Bryant",15429,592178
2007,"Felipe Lopez","WSN",671,0.1983,0.3871,0.303,0.2277,0.2847,89.4548610870548,98.78685723775176,80.64526750790509,65.03112078441977,93.02047656272379,106.57842745308497,117.15399634771242,77.96150030385178,60.65432173164042,74.5802418973284,79.12830318664666,89.95861689768482,"Felipe Lopez",1311,150479
