player_name,MLBAMID,Season,BIP,xHR,xBACON,xSLGCON,EV81,EV96,best_speed,hard_hit_rate
"Maxwell, Bruce",622194,2018,43,1.1830482174830195,0.2919355409956256,0.38395683810048875,96.31,105.30000000000001,94.83428571428571,0.2112676056338028
"Cordell, Ryan",641477,2018,24,1.1824651579705399,0.28966912132455036,0.44522614182616843,94.63400000000001,103.93199999999999,94.22105263157894,0.1794871794871795
"Hazelbaker, Jeremy",571757,2017,32,1.1821019804898256,0.36941028316505253,0.49725749422625487,95.47999999999999,106.47999999999999,94.68275862068965,0.2033898305084746
"Adrianza, Ehire",501303,2016,48,1.177839279655085,0.27241545721578103,0.3545977927950163,93.236,98.91999999999999,89.52307692307693,0.10126582278481013
"Ruggiano, Justin",448605,2017,43,1.1753629769496143,0.27760992233836373,0.37023117833648167,94.918,102.896,91.709375,0.1875
"Rasmus, Colby",458675,2018,26,1.1752779119946961,0.244501809661205,0.38925682347193996,94.91000000000001,102.132,91.44761904761904,0.18604651162790697
"Urena, Richard",620446,2019,52,1.1751715915416754,0.28219671905613863,0.3619566982611426,93.9,99.5,91.33111111111111,0.17582417582417584
"Descalso, Daniel",518614,2019,108,1.1708522719535281,0.28160137865968327,0.3279019589508994,97.12400000000001,102.91199999999999,94.38478260869566,0.23243243243243245
"González, Erik",570481,2019,104,1.1697734515139437,0.3017816338688135,0.34363626771246353,95.5,107.792,94.39135802469136,0.19753086419753085
"Fletcher, David",664058,2018,239,1.1636624624381917,0.31212474128317136,0.33564191283188405,94.154,99.632,92.36077348066298,0.16847826086956522
"Culberson, Charlie",518586,2016,51,1.1622989680689684,0.28634500085357945,0.36447489441192893,96.04,102.34400000000001,94.23235294117647,0.2463768115942029
"Martin, Jason",641829,2019,26,1.1618771639816217,0.34943401254713535,0.4930675416693552,99.56,106.8,97.92,0.34146341463414637
"Owings, Chris",572008,2020,30,1.161494504416222,0.2723499286919832,0.3939387677115287,97.35900000000001,102.532,95.756,0.28
"Locastro, Tim",641796,2019,168,1.1593371871826692,0.2699996818167468,0.2960953008558215,92.48,102.72000000000001,91.19496402877698,0.14590747330960854
"Cabrera, Ramón",541608,2016,139,1.1587926712992704,0.27440551566563065,0.3091743660057811,96.3,103.7,94.381,0.22388059701492538
"Márquez, Germán",608566,2018,41,1.1551092499416384,0.3468434643454668,0.4361973936889611,96.22200000000001,104.408,95.0741935483871,0.23809523809523808
